X at Z=0
Scale: x 1220 nm
-14470	-5396	-574	1190	1072	249	-94	-38	-677	-646	-705	-933	-902	-797	-885	-1009	-1160	-1301	-1465	-1433	-1710	-1817	-1608	-1827	-1994	-2026	-2032	-2160	-2352	-2440	-2251	-1639	-421
-5184	-1815	-60	551	440	55	-132	-195	-551	-572	-653	-808	-838	-817	-900	-1027	-1159	-1292	-1457	-1511	-1706	-1819	-1767	-1900	-1995	-2037	-2050	-2119	-2214	-2260	-2174	-1892	-1336
-163	167	317	292	168	15	-92	-227	-423	-496	-591	-709	-772	-818	-896	-1034	-1159	-1294	-1463	-1572	-1729	-1850	-1891	-1972	-2038	-2085	-2120	-2160	-2211	-2238	-2229	-2146	-1980
1806	1027	553	306	166	88	-4	-166	-310	-403	-516	-629	-721	-794	-889	-1020	-1158	-1301	-1477	-1614	-1762	-1901	-1990	-2059	-2119	-2181	-2223	-2263	-2304	-2335	-2366	-2396	-2441
1892	1175	721	481	333	224	97	-52	-199	-319	-441	-565	-668	-759	-866	-1004	-1150	-1315	-1498	-1658	-1808	-1959	-2066	-2141	-2210	-2287	-2353	-2405	-2450	-2501	-2559	-2652	-2777
1263	1057	872	697	529	392	230	57	-98	-231	-365	-506	-617	-718	-842	-986	-1147	-1331	-1521	-1694	-1859	-2019	-2138	-2226	-2312	-2400	-2484	-2556	-2618	-2685	-2776	-2896	-3069
1093	1112	1033	890	708	506	347	166	-2	-145	-293	-446	-562	-681	-816	-971	-1145	-1337	-1543	-1726	-1900	-2074	-2209	-2311	-2407	-2509	-2609	-2692	-2766	-2849	-2967	-3138	-3377
1864	1518	1241	1007	805	624	455	258	79	-69	-230	-390	-520	-648	-793	-960	-1144	-1345	-1561	-1754	-1939	-2125	-2271	-2382	-2489	-2604	-2712	-2810	-2894	-2990	-3109	-3276	-3502
2771	1982	1457	1125	906	735	542	342	156	-2	-173	-342	-481	-618	-773	-949	-1141	-1350	-1574	-1777	-1971	-2164	-2324	-2444	-2562	-2684	-2803	-2911	-3022	-3135	-3226	-3305	-3362
3134	2211	1601	1228	998	831	626	414	223	55	-120	-302	-446	-591	-756	-939	-1137	-1354	-1585	-1796	-1999	-2201	-2365	-2499	-2623	-2754	-2883	-3000	-3098	-3214	-3365	-3561	-3837
2994	2198	1667	1323	1094	908	693	482	282	106	-83	-265	-409	-570	-740	-927	-1134	-1358	-1593	-1809	-2023	-2231	-2407	-2540	-2675	-2813	-2948	-3071	-3197	-3320	-3443	-3566	-3689
2228	1910	1640	1398	1172	970	757	527	328	146	-45	-225	-386	-550	-724	-919	-1131	-1359	-1605	-1823	-2045	-2255	-2432	-2580	-2721	-2863	-3003	-3135	-3273	-3406	-3535	-3665	-3802
2096	1882	1673	1451	1232	1021	800	580	372	182	-10	-203	-370	-533	-714	-912	-1127	-1366	-1605	-1831	-2060	-2268	-2459	-2608	-2751	-2898	-3048	-3184	-3317	-3458	-3601	-3762	-3949
2443	2070	1759	1507	1279	1062	841	608	397	213	6	-184	-350	-513	-701	-905	-1123	-1358	-1609	-1845	-2067	-2282	-2478	-2627	-2776	-2930	-3076	-3219	-3358	-3493	-3641	-3792	-3958
2319	2035	1776	1541	1309	1092	866	636	422	230	28	-164	-337	-506	-694	-897	-1118	-1360	-1611	-1841	-2070	-2292	-2488	-2641	-2791	-2946	-3103	-3247	-3383	-3522	-3683	-3862	-4078
2249	2016	1784	1557	1335	1110	885	651	436	246	36	-154	-331	-496	-687	-892	-1114	-1358	-1610	-1844	-2074	-2295	-2491	-2647	-2800	-2957	-3112	-3257	-3398	-3546	-3701	-3858	-4033
2388	2087	1818	1574	1340	1119	894	660	445	251	44	-149	-323	-489	-681	-888	-1110	-1353	-1607	-1842	-2069	-2295	-2491	-2645	-2798	-2957	-3111	-3259	-3399	-3552	-3724	-3924	-4180
2079	1946	1773	1570	1343	1116	894	659	442	252	45	-145	-323	-488	-678	-884	-1106	-1349	-1602	-1838	-2062	-2287	-2485	-2636	-2790	-2948	-3101	-3252	-3382	-3534	-3720	-3970	-4299
2096	1947	1766	1555	1332	1102	882	650	437	247	40	-150	-327	-481	-680	-882	-1101	-1343	-1595	-1826	-2050	-2280	-2466	-2624	-2772	-2930	-3083	-3229	-3357	-3501	-3675	-3886	-4165
2178	1959	1741	1523	1297	1077	864	635	421	233	26	-154	-323	-493	-681	-878	-1095	-1335	-1583	-1814	-2042	-2258	-2450	-2599	-2748	-2902	-3052	-3193	-3327	-3469	-3616	-3792	-3991
2453	2052	1731	1477	1253	1049	829	602	399	208	19	-164	-345	-502	-680	-881	-1096	-1325	-1576	-1803	-2021	-2233	-2423	-2569	-2713	-2865	-3009	-3148	-3278	-3421	-3588	-3809	-4095
2105	1872	1648	1428	1215	1004	790	571	363	183	5	-202	-356	-501	-685	-877	-1084	-1319	-1557	-1781	-1998	-2211	-2394	-2531	-2671	-2815	-2959	-3092	-3215	-3350	-3524	-3769	-4113
1823	1709	1552	1362	1154	941	738	521	326	152	-38	-222	-358	-516	-694	-877	-1083	-1304	-1545	-1764	-1969	-2178	-2351	-2485	-2619	-2759	-2894	-3014	-3142	-3264	-3398	-3550	-3726
2857	2103	1590	1263	1047	873	677	469	278	108	-69	-241	-387	-535	-697	-878	-1076	-1296	-1524	-1736	-1933	-2139	-2303	-2432	-2557	-2690	-2818	-2930	-3052	-3166	-3289	-3424	-3578
3088	2140	1529	1166	950	800	603	404	221	61	-107	-279	-412	-551	-706	-881	-1071	-1282	-1504	-1705	-1901	-2093	-2249	-2368	-2486	-2607	-2727	-2839	-2932	-3043	-3215	-3496	-3909
2708	1907	1385	1057	856	702	519	327	152	1	-159	-317	-443	-572	-719	-882	-1065	-1268	-1481	-1674	-1859	-2042	-2187	-2295	-2404	-2516	-2626	-2722	-2816	-2913	-3046	-3237	-3493
1630	1370	1140	938	755	581	425	242	75	-65	-214	-361	-482	-594	-734	-886	-1059	-1254	-1456	-1637	-1814	-1983	-2120	-2214	-2312	-2414	-2511	-2596	-2674	-2758	-2858	-2989	-3160
1186	1060	916	759	600	459	306	141	-6	-144	-279	-413	-519	-628	-747	-892	-1053	-1236	-1425	-1598	-1764	-1922	-2044	-2121	-2207	-2298	-2379	-2453	-2515	-2585	-2682	-2822	-3033
1233	941	720	548	438	323	192	36	-123	-235	-343	-470	-573	-659	-767	-898	-1040	-1219	-1397	-1558	-1703	-1847	-1953	-2021	-2094	-2167	-2237	-2300	-2339	-2398	-2500	-2663	-2931
508	518	466	409	295	172	65	-47	-231	-325	-406	-520	-616	-694	-784	-904	-1033	-1197	-1360	-1515	-1653	-1778	-1876	-1923	-1982	-2047	-2109	-2144	-2172	-2213	-2310	-2478	-2772
-2235	-664	111	359	254	28	-91	-133	-282	-399	-462	-551	-645	-712	-789	-904	-1042	-1188	-1326	-1490	-1623	-1731	-1816	-1839	-1885	-1965	-2015	-2020	-2018	-2034	-2096	-2233	-2487
-8377	-3199	-461	487	387	-102	-344	-190	-255	-447	-497	-555	-638	-712	-797	-902	-1072	-1172	-1267	-1496	-1637	-1718	-1802	-1770	-1806	-1937	-1969	-1939	-1898	-1862	-1856	-1892	-1993
-19160	-7546	-1358	873	745	-252	-696	-200	-110	-473	-514	-514	-587	-684	-791	-892	-1136	-1173	-1196	-1532	-1698	-1748	-1837	-1728	-1764	-2000	-2011	-1912	-1820	-1711	-1580	-1421	-1212
Y at Z=0
Scale: x 1220 nm
-355	1575	2653	3106	3180	3112	3129	3290	3333	3286	3502	3216	3240	3362	3092	3215	3331	3413	3533	3429	3445	3407	3138	3107	3190	3230	3187	3092	2969	2881	2873	3001	3311
1479	2303	2754	2957	3008	2986	3009	3089	3119	3106	3205	3087	3097	3158	3053	3088	3145	3184	3224	3180	3180	3157	3033	3001	3036	3027	3004	2946	2871	2824	2834	2951	3209
2404	2608	2733	2800	2823	2836	2859	2894	2914	2917	2955	2930	2930	2954	2943	2928	2948	2965	2959	2954	2948	2931	2893	2851	2863	2834	2816	2774	2735	2710	2728	2824	3028
2657	2621	2612	2620	2640	2662	2679	2699	2710	2724	2734	2743	2742	2748	2771	2748	2744	2754	2734	2743	2728	2716	2711	2680	2672	2640	2620	2598	2574	2550	2566	2638	2786
2496	2451	2425	2432	2449	2475	2490	2497	2510	2521	2527	2544	2540	2539	2567	2546	2544	2543	2534	2533	2524	2517	2507	2486	2476	2449	2430	2406	2382	2362	2369	2416	2511
2188	2209	2224	2240	2262	2274	2289	2305	2316	2322	2333	2337	2335	2346	2346	2339	2341	2338	2335	2331	2319	2312	2299	2287	2271	2255	2237	2214	2190	2167	2163	2179	2224
1969	2007	2033	2051	2061	2083	2095	2104	2114	2122	2128	2131	2135	2139	2138	2137	2136	2133	2129	2124	2114	2109	2098	2089	2074	2059	2041	2024	2002	1977	1959	1948	1945
1805	1828	1852	1867	1879	1888	1900	1908	1917	1921	1925	1931	1931	1937	1935	1933	1933	1929	1925	1920	1915	1908	1899	1890	1876	1864	1848	1830	1816	1793	1765	1707	1621
1442	1574	1644	1679	1692	1699	1709	1717	1723	1726	1730	1733	1732	1738	1737	1734	1735	1731	1727	1723	1717	1710	1704	1693	1683	1672	1657	1643	1627	1610	1567	1464	1306
1422	1459	1482	1495	1503	1510	1519	1525	1529	1533	1538	1538	1540	1540	1542	1540	1540	1535	1531	1528	1521	1522	1507	1503	1493	1482	1470	1456	1441	1427	1418	1405	1396
